"date","max.temp","min.temp","dwpt","month","year","day","dow","weekend","holiday","CO","O3","SO2","PM10","PM25","NO2","number.deaths","HI.max"
"1999-04-01",71.8318744994319,40.5471385257185,35.664457949612,4,1999,1,4,0,0,1.98457410371974,0.0425456387277311,21.053539595634,46.4886841399371,19.2427988079035,59.7463687598566,35,66
"1999-04-02",61.2953292888155,41.3199452077869,37.623341697152,4,1999,2,5,0,0,1.35406702477725,0.0430739064325966,12.1786758499365,24.2756488682319,9.69844448125274,41.0093871176496,23,61
"1999-04-03",54.4522315838072,41.5852448276186,26.3233693558464,4,1999,3,6,1,0,1.35327281041497,0.0420502905319274,15.4798815436604,17.0512963838871,7.1413856581684,36.3188245763649,27,46
"1999-04-04",56.3138673930875,42.0648750870803,34.0631480803726,4,1999,4,0,1,0,0.861861910552616,0.0487022931797463,5.03812929367687,13.653890504238,6.54312744858396,19.4373130231012,24,53
"1999-04-05",59.9218129732079,30.8617001046705,21.0120581733531,4,1999,5,1,0,0,1.51577909238528,0.0454870143155221,9.48109123016172,15.6476941571962,4.89265534445499,41.6390557930147,18,57
"1999-04-06",59.8964615953234,30.9499025669077,30.6154035685609,4,1999,6,2,0,0,1.62114217785446,0.0495861007760294,28.8163828942261,17.3035770283798,7.76039114408659,48.4229326982417,28,53
"1999-04-07",69.9290186327986,43.3959915530809,40.6028684902107,4,1999,7,3,0,0,1.18835780681268,0.052625291689483,7.04146701931408,33.4903910798464,10.7840544586048,38.9686161322923,22,68
"1999-04-08",75.9100191472472,37.3370407111597,36.8187724060873,4,1999,8,4,0,0,1.32891538769298,0.0637790590646693,17.1044336764558,40.853449484956,10.5339099607266,47.957890843901,14,77
"1999-04-09",70.6783169127405,37.6573947530135,31.4769070545797,4,1999,9,5,0,0,1.69376872565233,0.0440067476394242,11.8932329846177,20.9684403571202,8.36396966933468,43.6558227453434,28,68
"1999-04-10",57.0086654763191,40.2419481070046,33.9820811566214,4,1999,10,6,1,0,1.43239988275107,0.0462960920110525,5.5264535250579,12.980835756357,6.09470215530027,20.984071131652,23,54
"1999-04-11",51.9866944480542,29.1067782242276,21.4185421446342,4,1999,11,0,1,0,1.27253991675589,0.0478501339294735,14.1548679004457,10.3590773923632,11.6307111840063,23.6594948852361,26,45
"1999-04-12",57.7081453641274,34.6582438484787,32.2499498763572,4,1999,12,1,0,0,1.41535469702032,0.0487396852948155,21.7486300362423,12.9322000774309,7.22149847839715,31.8687718763557,33,54
"1999-04-13",56.7993819607929,35.1487952083518,19.6643136615414,4,1999,13,2,0,0,1.22784217778733,0.0450046789923897,9.96699606845811,19.8664994309647,4.8970150784728,22.1631357800292,26,50
"1999-04-14",59.3906391790668,35.5769137516617,23.5530486280211,4,1999,14,3,0,0,1.22227093567004,0.0498152622182315,11.4952631846615,28.4960217997218,4.79052103456556,30.9462195954034,26,56
"1999-04-15",65.3651273183856,33.1742232801135,30.0071747556406,4,1999,15,4,0,0,1.22584174047599,0.0498055355924095,9.82272907727442,26.4801089986092,6.0031476518122,39.9840031660181,32,63
"1999-04-16",61.3659653489302,37.2364518608367,37.2039921387821,4,1999,16,5,0,0,1.27234981429843,0.0403947723034158,8.75793868454807,22.9920435994437,6.04035210895049,26.7196398162507,25,51
"1999-04-17",56.3332538324308,36.1948297109982,39.1791103109375,4,1999,17,6,1,0,1.14718647108189,0.0332892257727173,6.82678252457414,13.9840871988874,7.04977993190594,29.3413553809149,17,55
"1999-04-18",61.9789188885419,40.4154296957685,36.6414069367891,4,1999,18,0,1,0,0.690627529453563,0.0429094858975243,3.34050776134285,11.1066776527156,8.46898290917166,23.1036183718718,13,60
"1999-04-19",62.0859838384655,39.6209600147662,35.2643136615414,4,1999,19,1,0,0,0.802872407135008,0.0402385370794403,7.40007321163727,22.4403269958276,9.1296038774307,32.3074415969528,17,60
"1999-04-20",61.2337163534951,39.0293003103374,38.9223459545605,4,1999,20,2,0,0,1.06834461543405,0.0378928928025477,7.69339870475768,21.9443051961057,9.92017605447524,32.3031577270824,28,54
"1999-04-21",61.8267364030221,38.4211760940141,38.635960640697,4,1999,21,3,0,0,1.09792363982501,0.0431706569177156,13.0185513746093,22.9698746201331,8.66983484073144,42.5635469459962,23,60
"1999-04-22",60.0626143396759,40.8466671125538,43.2670357554935,4,1999,22,4,0,0,1.42420209113261,0.0223725231093083,13.3967825856098,30.9681743977747,26.3512601959669,45.0488683566912,25,56
"1999-04-23",55.0788237282121,43.4353888174351,47.5896262454101,4,1999,23,5,0,0,1.7331395723855,0.0403613010284744,7.91703394461003,18,22.7534371545153,42.3768631117412,28,51
"1999-04-24",57.2740369674126,35.0841004218054,23.123699864585,4,1999,24,6,1,0,1.072266577284,0.0430075117097837,4.87456025824521,9.31739451130202,5.4080913691688,21.0850658895583,24,54
"1999-04-25",60.0779966700186,36.9538168468466,21.4198377399706,4,1999,25,0,1,0,0.989342286912806,0.0498168018183709,6.72829090011577,7,4.84534801632693,29.6306107524057,29,58
